--- Running JMH ---
ArraysSort: PARALLELISM = 3

...

# Run complete. Total time: 03:15:17

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt    Score    Error  Units
Main.Char.newParallelSort           1000000    RANDOM  avgt    4    3,122 ±  0,006  ms/op
Main.Char.newParallelSort           1000000  REPEATED  avgt    4    1,102 ±  0,016  ms/op
Main.Char.newParallelSort           1000000   STAGGER  avgt    4    1,543 ±  0,023  ms/op
Main.Char.newParallelSort           1000000   SHUFFLE  avgt    4    1,408 ±  0,006  ms/op

Main.Char.testParallelSort             1000    RANDOM  avgt    4    0,054 ±  0,001  ms/op
Main.Char.testParallelSort             1000  REPEATED  avgt    4    0,006 ±  0,001  ms/op
Main.Char.testParallelSort             1000   STAGGER  avgt    4    0,022 ±  0,001  ms/op
Main.Char.testParallelSort             1000   SHUFFLE  avgt    4    0,031 ±  0,001  ms/op
Main.Char.testParallelSort            10000    RANDOM  avgt    4    0,238 ±  0,003  ms/op
Main.Char.testParallelSort            10000  REPEATED  avgt    4    0,060 ±  0,013  ms/op
Main.Char.testParallelSort            10000   STAGGER  avgt    4    0,080 ±  0,036  ms/op
Main.Char.testParallelSort            10000   SHUFFLE  avgt    4    0,081 ±  0,001  ms/op
Main.Char.testParallelSort           100000    RANDOM  avgt    4    1,061 ±  0,028  ms/op
Main.Char.testParallelSort           100000  REPEATED  avgt    4    0,229 ±  0,004  ms/op
Main.Char.testParallelSort           100000   STAGGER  avgt    4    0,306 ±  0,018  ms/op
Main.Char.testParallelSort           100000   SHUFFLE  avgt    4    0,308 ±  0,074  ms/op
Main.Char.testParallelSort          1000000    RANDOM  avgt    4    3,131 ±  0,023  ms/op
Main.Char.testParallelSort          1000000  REPEATED  avgt    4    1,106 ±  0,004  ms/op
Main.Char.testParallelSort          1000000   STAGGER  avgt    4    1,539 ±  0,018  ms/op
Main.Char.testParallelSort          1000000   SHUFFLE  avgt    4    1,406 ±  0,009  ms/op

Main.Char.newSort                      1000    RANDOM  avgt    4    0,058 ±  0,001  ms/op
Main.Char.newSort                      1000  REPEATED  avgt    4    0,006 ±  0,001  ms/op
Main.Char.newSort                      1000   STAGGER  avgt    4    0,027 ±  0,001  ms/op
Main.Char.newSort                      1000   SHUFFLE  avgt    4    0,032 ±  0,001  ms/op
Main.Char.newSort                     10000    RANDOM  avgt    4    0,242 ±  0,002  ms/op
Main.Char.newSort                     10000  REPEATED  avgt    4    0,060 ±  0,013  ms/op
Main.Char.newSort                     10000   STAGGER  avgt    4    0,079 ±  0,045  ms/op
Main.Char.newSort                     10000   SHUFFLE  avgt    4    0,081 ±  0,002  ms/op
Main.Char.newSort                    100000    RANDOM  avgt    4    1,061 ±  0,016  ms/op
Main.Char.newSort                    100000  REPEATED  avgt    4    0,227 ±  0,005  ms/op
Main.Char.newSort                    100000   STAGGER  avgt    4    0,307 ±  0,015  ms/op
Main.Char.newSort                    100000   SHUFFLE  avgt    4    0,306 ±  0,089  ms/op
